Lender,AVG(LoanAmount)
"NORTHRIM BANK",138123.75
B1BANK,137825.0
"SECURITY STATE BANK & TRUST",133100.0
"BOKF, NATIONAL ASSOCIATION",132300.0
"EAST WEST BANK",130100.0
"COMMONWEALTH BUSINESS BANK",125750.0
"CALPRIVATE BANK",114400.0
"WASHINGTON TRUST BANK",113500.0
"ACADEMY BANK, NATIONAL ASSOCIATION",111128.0
"FIRST NATIONAL BANK OF PENNSYLVANIA",106625.0
"WESTERN ALLIANCE BANK",106500.0
"T BANK, NATIONAL ASSOCIATION",103988.0
"BANK OF THE PACIFIC",96250.0
"1ST SOURCE BANK",94900.0
"TOWN BANK, NATIONAL ASSOCIATION",93800.0
"HORICON BANK",91100.0
"PARKSIDE FINANCIAL BANK & TRUST",88865.0
"PACIFIC ENTERPRISE BANK",87100.0
"TRANSPECOS BANKS, SSB.",82750.0
"FLAGSTAR BANK, FSB",82700.0
"FIRST BANK OF THE LAKE",82624.0
"FIRST BANK OF OWASSO",82500.0
"HANMI BANK",81000.0
"COASTAL COMMUNITY BANK",78400.0
"ONE FLORIDA BANK",78200.0
"FIRST BANK",78025.0
"FOUNTAINHEAD SBF LLC",73409.23
"AXOS BANK",71545.05
"1ST FINANCIAL BANK USA",70177.5
"FIRST COMMUNITY BANK",69153.87
"BANK OF THE WEST",68750.0
"LEGACY BANK",68600.0
"PACIFIC CITY BANK",67000.0
"HARVEST SMALL BUSINESS FINANCE, LLC",63670.0
"SEACOAST COMMERCE BANK",61650.0
BANCFIRST,60300.0
"BBVA USA",60222.0
INCREDIBLEBANK,58450.0
"ADDITION FINANCIAL CU",57328.0
"KISH BANK",54405.0
"US EAGLE FCU",52700.0
"LIVE OAK BANKING COMPANY",51209.0909090909
"FIRST CHOICE BANK",50992.5
"FIRST HORIZON BANK",49152.0
"CONNECTIONS BANK",47150.0
"NANO BANC",47133.3333333333
"CDC SMALL BUSINESS FINANCE CORPORATION",46825.0
"STEARNS BANK NATIONAL ASSOCIATION",46219.6666666667
"FIVE STAR BANK",46000.0
"NEWPORT NEWS SHIPBUILDING EMPL CU INC D/B/A BAYPORT CU",45900.0
"CLARE BANK, NATIONAL ASSOCIATION",45770.0
"ZIONS BANK, A DIVISION OF",45477.7777777778
"KEYBANK NATIONAL ASSOCIATION",45339.0
"FIRST NATIONAL BANK TEXAS",44900.0
"FARMERS & MERCHANTS UNION BANK",44739.04
"FIRST HAWAIIAN BANK",42574.2284234893
"BANK OF ALMA",42168.42
"MUFG UNION BANK, NATIONAL ASSOCIATION",41802.5
"STATE BANK OF SOUTHERN UTAH",41700.0
"LAKE ELMO BANK",41667.0
"UMPQUA BANK",40600.0
"FIRST HOME BANK",38946.4545454545
"CITY NATIONAL BANK",38475.6666666667
"HAWAII NATIONAL BANK",37861.3205834684
"TCF NATIONAL BANK",37635.72
"OPTUS BANK",37500.0
"TEXAS CAPITAL BANK, NATIONAL ASSOCIATION",37335.0
"GREATER NEVADA CU",37315.75
"GBC INTERNATIONAL BANK",37065.0
"SMALL BUSINESS BANK",37025.5
"IDAHO FIRST BANK",37010.7225
"FIRST GENERAL BANK",36200.0
"TOUCHMARK NATIONAL BANK",36100.0
"FIRST BANK & TRUST",36000.0
"COMPEER FINANCIAL, ACA",35726.25
"COLUMBIA STATE BANK",35507.0
"COMERICA BANK",35400.0
"AMERICAN AGCREDIT, ACA",35061.0
"BANK OF HAWAII",34710.3527046943
"FIRST FOUNDATION BANK",34621.0526315789
"FC MARKETPLACE, LLC (DBA FUNDING CIRCLE)",34240.425
"NORTHEAST BANK",34164.1428571429
